,x,e^x
0,1/32768,(1+3.0517578125e-05j)
1,1/16384,(0.9999999990686774+6.103515625e-05j)
2,1/8192,(0.9999999944120646+0.00012207031238631316j)
3,1/4096,(0.9999999739229679+0.00024414062340838427j)
4,1/2048,(0.9999998882412925+0.00048828123408384283j)
5,1/1024,(0.9999995380640339+0.0009765623590283264j)
6,1/512,(0.99999812245424+0.0019531238158380993j)
7,1/256,(0.9999924302193666+0.0039062402975175246j)
8,1/128,(0.9999696017827727+0.007812421456270742j)
9,1/64,(0.9998781705605867+0.015624367945172486j)
10,1/32,(0.9995122350898994+0.031244928874369072j)
11,1/16,(0.998048462514042+0.06245937738889113j)
12,1/8,(0.992199559702835+0.12467497114513422j)
13,1/4,(0.9689161178444599+0.24740490295233172j)
14,1/2,(0.8775892574139262+0.479429196208517j)
15,1,(0.5403105505511819+0.841483824566376j)
